method,shd,seed,p,n
GRaSP+BHC,19,1,15,1000
GRaSP+BHC,32,2,15,1000
GRaSP+BHC,21,3,15,1000
GRaSP+BHC,27,4,15,1000
GRaSP+BHC,15,5,15,1000
GRaSP+BHC,36,6,15,1000
GRaSP+BHC,16,7,15,1000
GRaSP+BHC,26,8,15,1000
GRaSP+BHC,25,9,15,1000
GRaSP+BHC,21,10,15,1000
GRaSP+BHC,46,1,20,250
GRaSP+BHC,44,2,20,250
GRaSP+BHC,44,3,20,250
GRaSP+BHC,41,4,20,250
GRaSP+BHC,45,5,20,250
GRaSP+BHC,42,6,20,250
GRaSP+BHC,49,7,20,250
GRaSP+BHC,49,8,20,250
GRaSP+BHC,43,9,20,250
GRaSP+BHC,42,10,20,250
GRaSP+BHC,22,1,20,1000
GRaSP+BHC,45,2,20,1000
GRaSP+BHC,43,3,20,1000
GRaSP+BHC,37,4,20,1000
GRaSP+BHC,38,5,20,1000
GRaSP+BHC,18,6,20,1000
GRaSP+BHC,17,7,20,1000
GRaSP+BHC,42,8,20,1000
GRaSP+BHC,27,9,20,1000
GRaSP+BHC,27,10,20,1000
