method,time,total_time,seed,p,n
CSlearn+GRaSP,14.300822121000238,563.9569512050002,7,50,1001
CSlearn+GRaSP,12.95763307300058,441.7583454870005,8,50,1001
CSlearn+GRaSP,12.327604903000063,463.6646809869999,9,50,1001
CSlearn+GRaSP,11.87386371699995,561.6847136189999,10,50,1001
CSlearn+GRaSP,23.64294048002921,1270.887590271013,1,100,1001
CSlearn+GRaSP,21.28901028100153,925.358210237002,2,100,1001
CSlearn+GRaSP,24.103599408001173,1374.8318923009792,3,100,1001
CSlearn+GRaSP,22.37397707100172,1751.4937902180027,4,100,1001
CSlearn+GRaSP,21.64904343200033,1181.4573757619985,5,100,1001
CSlearn+GRaSP,22.61412779800594,1382.186346525035,6,100,1001
CSlearn+GRaSP,22.00208266900154,2387.131765113998,7,100,1001
CSlearn+GRaSP,22.03694755403557,1017.0639299380128,8,100,1001
CSlearn+GRaSP,22.876447950999136,1151.524577125001,9,100,1001
CSlearn+GRaSP,21.94723737402819,1597.7333652760135,10,100,1001
CSlearn+GRaSP,116.98412181495225,12282.179279988952,1,250,1001
CSlearn+GRaSP,114.2429123740294,13040.759746716025,2,250,1001
CSlearn+GRaSP,73.60614216100657,9933.266161170031,3,250,1001
CSlearn+GRaSP,114.65680014097596,12785.532533785976,4,250,1001
CSlearn+GRaSP,74.34717102005379,8768.84800869209,5,250,1001
CSlearn+GRaSP,117.59505094803173,15377.49098317503,6,250,1001
CSlearn+GRaSP,70.6630483509507,10624.049291420904,7,250,1001
CSlearn+GRaSP,116.90265320800243,13830.382267156005,8,250,1001
CSlearn+GRaSP,113.46565234300216,13629.148653609,9,250,1001
CSlearn+GRaSP,70.2285490790382,9516.621382263022,10,250,1001
CSlearn+GRaSP,448.3020101769944,62221.519051743,1,500,1001
CSlearn+GRaSP,278.2262401980115,51060.72492031602,2,500,1001
CSlearn+GRaSP,466.0990024819621,66147.47576180997,3,500,1001
CSlearn+GRaSP,275.6870805489598,54149.20831408096,4,500,1001
CSlearn+GRaSP,275.6057014390244,51396.84046675103,5,500,1001
CSlearn+GRaSP,275.3704193009762,51536.83305446298,6,500,1001
CSlearn+GRaSP,278.2743869039696,56504.95688929595,7,500,1001
CSlearn+GRaSP,272.6387319940259,53631.082181165,8,500,1001
CSlearn+GRaSP,272.47041975997854,54511.45959996601,9,500,1001
CSlearn+GRaSP,272.61202235496603,52068.52226885699,10,500,1001
bhc,0.201796531677246,4.88183260467849,1,10,1000
bhc,0.13543701171875,6.8442956057188,2,10,1000
bhc,0.129712343215942,3.66187707221252,3,10,1000
bhc,0.178327560424805,6.34335058942816,4,10,1000
bhc,0.185200691223145,3.47904485322215,5,10,1000
bhc,0.0956506729125977,4.08753380391136,6,10,1000
bhc,0.180908203125,18.7385107851223,7,10,1000
bhc,0.395228862762451,8.3301204367599,8,10,1000
bhc,0.204032182693481,5.59152754769457,9,10,1000
bhc,0.423445463180542,7.91428024918059,10,10,1000
bhc,18.6157336632411,75.3915063502306,1,25,1000
bhc,29.0824572523435,72.4631526303439,2,25,1000
bhc,29.5018655220668,92.4766163520656,3,25,1000
bhc,18.5566857655843,49.6821685875378,4,25,1000
bhc,18.414876349767,56.9942909337425,5,25,1000
bhc,18.5061952988307,60.0720227867986,6,25,1000
bhc,18.4272544781367,72.6664823001872,7,25,1000
bhc,18.2217560450236,87.0662734109947,8,25,1000
bhc,18.5541897177696,65.8116225237842,9,25,1000
bhc,18.3466185251872,68.6980864311607,10,25,1000
