method,kl_div,seed,p,n
bhc (mle),0.005006780005661,1,15,10000
bhc (mle),0.0109793720675988,2,15,10000
bhc (mle),0.0061815804921794,3,15,10000
bhc (mle),0.0109216868406136,4,15,10000
bhc (mle),0.0152289520122321,5,15,10000
bhc (mle),0.0050857551068691,6,15,10000
bhc (mle),0.0109201271257533,7,15,10000
bhc (mle),0.0106972015006921,8,15,10000
bhc (mle),0.0093038243653455,9,15,10000
bhc (mle),0.0083217435093903,10,15,10000
bhc (mle),0.2086688106493009,1,20,1000
bhc (mle),1.5976907402561524,2,20,1000
bhc (mle),1.3080719279801052,3,20,1000
bhc (mle),1.3558599339467543,4,20,1000
bhc (mle),0.7813068217904837,5,20,1000
bhc (mle),0.0935166402872246,6,20,1000
bhc (mle),0.0656528918145513,7,20,1000
bhc (mle),0.445537094503292,8,20,1000
bhc (mle),0.3588251150229516,9,20,1000
bhc (mle),0.1397355734064166,10,20,1000
bhc (mle),0.007817337797414,1,20,10000
bhc (mle),0.0156387782081465,2,20,10000
bhc (mle),1.1969336700492532,3,20,10000
bhc (mle),0.0104120564730894,4,20,10000
bhc (mle),0.0133504807795033,5,20,10000
bhc (mle),0.0074556477442791,6,20,10000
bhc (mle),0.0070450594882999,7,20,10000
bhc (mle),0.0132906365195827,8,20,10000
bhc (mle),0.2932036852441596,9,20,10000
bhc (mle),0.0149784358541259,10,20,10000
