method,time,total_time,seed,p,n
bos,1.90422714928786,1.90422714928786,9,10,1000
bos,2.33777116338412,2.33777116338412,10,10,1000
bhc,0.0796482563018799,0.377764009299426,1,5,250
bhc,0.089808464050293,0.2991391530486,2,5,250
bhc,0.0764503479003906,0.455063168900438,3,5,250
bhc,0.101351499557495,0.437014961556997,4,5,250
bhc,0.0978431701660156,0.409001654165877,5,5,250
bhc,0.0977954864501953,0.566142717456387,6,5,250
bhc,0.095844030380249,0.240048429380295,7,5,250
bhc,0.0746383666992188,0.244001720699259,8,5,250
bhc,0.0880751609802246,0.26096109898026,9,5,250
bhc,0.0990047454833984,0.710568548483252,10,5,250
bhc,0.0818643569946289,0.486621691994515,1,5,1000
bhc,0.0797910690307617,0.412565547030681,2,5,1000
bhc,0.0996382236480713,0.415185154648043,3,5,1000
bhc,0.0913076400756836,0.341557684075269,4,5,1000
bhc,0.0875349044799805,0.425589531478181,5,5,1000
bhc,0.124462604522705,0.778708841522757,6,5,1000
bhc,0.0894103050231934,0.550624166023226,7,5,1000
bhc,0.104326486587524,0.261261365587416,8,5,1000
bhc,0.0923984050750732,0.254297909075149,9,5,1000
bhc,0.0884819030761719,0.919492421076029,10,5,1000
bhc,0.0831520557403564,0.697129902739107,1,7,250
bhc,0.0866732597351074,0.72336855773392,2,7,250
bhc,0.0964417457580566,0.750256620757682,3,7,250
bhc,0.116460561752319,0.902145149753778,4,7,250
bhc,0.0916049480438232,0.940854833043659,5,7,250
bhc,0.165616989135742,1.50110861113353,6,7,250
bhc,0.0924434661865234,1.1999822371863,7,7,250
bhc,0.127079963684082,0.535934605683906,8,7,250
bhc,0.190570116043091,1.41973501904317,9,7,250
bhc,0.105022192001343,2.08785714600128,10,7,250
bhc,0.203034162521362,1.22989236452486,1,7,1000
bhc,0.100831508636475,1.02239063363595,2,7,1000
bhc,0.109158277511597,1.42738988251165,3,7,1000
bhc,0.124375104904175,1.93460447390407,4,7,1000
bhc,0.102552175521851,1.38862793052203,5,7,1000
bhc,0.10493803024292,2.38808877224074,6,7,1000
bhc,0.19805121421814,3.01572859722364,7,7,1000
bhc,0.21770715713501,1.0639789061388,8,7,1000
bhc,0.0999274253845215,1.31718345438458,9,7,1000
bhc,0.078303337097168,1.48283182809723,10,7,1000
bhc,0.12968897819519,2.47152000819551,1,10,250
bhc,0.11608362197876,1.46251924697935,2,10,250
bhc,0.188080549240112,1.69639559323696,3,10,250
bhc,0.209795713424683,3.14347357142469,4,10,250
bhc,0.12881875038147,2.9060094813758,5,10,250
bhc,0.12458324432373,1.85860469632371,6,10,250
bhc,0.143712759017944,3.08420855901841,7,10,250
bhc,0.171390295028687,1.84707684902241,8,10,250
bhc,0.185974597930908,1.44206416492671,9,10,250
bhc,0.145528316497803,1.89626303649766,10,10,250
bhc,0.17616081237793,2.76628668637568,1,10,1000
bhc,0.179014205932617,3.11144485093246,2,10,1000
bhc,0.175452709197998,3.51286138719797,3,10,1000
bhc,0.177819967269897,6.21915349326991,4,10,1000
bhc,0.209452867507935,6.70782842650783,5,10,1000
bhc,0.35394024848938,5.67128803448938,6,10,1000
bhc,0.155916213989258,9.51053606998903,7,10,1000
bhc,0.155728578567505,1.95698863156758,8,10,1000
bhc,0.180171728134155,2.41467754113432,9,10,1000
bhc,0.203579425811768,4.02127537181184,10,10,1000
bhc,2.15612268447876,12.275365048481,1,15,250
bhc,2.23332524299622,6.85393792799732,2,15,250
bhc,2.45196223258972,7.63778269858972,3,15,250
bhc,1.88634443283081,8.98210611883087,4,15,250
bhc,2.56153726577759,8.24131632777789,5,15,250
bhc,2.28120470046997,10.1267665024716,6,15,250
bhc,3.33132696151733,8.70245894451728,7,15,250
bhc,1.96603012084961,4.92077382484422,8,15,250
bhc,3.32138609886169,9.18689556086156,9,15,250
bhc,2.79534673690796,4.45868506790794,10,15,250
bhc,2.53155994415283,16.8243504021557,1,15,1000
bhc,1.64503598213196,15.2994586701316,2,15,1000
bhc,2.75451517105103,21.5711066190511,3,15,1000
bhc,2.78772568702698,30.3620651660272,4,15,1000
bhc,2.44945883750916,21.5959795155068,5,15,1000
bhc,2.4228527545929,20.5416465035928,6,15,1000
bhc,2.39215278625488,25.0849054132559,7,15,1000
bhc,2.46887946128845,12.0286413872891,8,15,1000
bhc,3.08770370483398,14.0262484608338,9,15,1000
bhc,2.97705793380737,12.5936738578075,10,15,1000
bhc,46.2652728557587,53.8014994997648,1,20,250
bhc,45.834641456604,51.7391535796341,2,20,250
bhc,44.93687915802,53.092083273048,3,20,250
bhc,45.9681181907654,57.7535430098069,4,20,250
bhc,39.9541466236115,47.7058766875998,5,20,250
bhc,46.1515040397644,53.8548260387615,6,20,250
bhc,45.5382859706879,52.6970441036974,7,20,250
bhc,37.9728593826294,43.7258069346426,8,20,250
bhc,45.0571203231812,49.7407712121494,9,20,250
bhc,46.7470767498016,57.9806299667689,10,20,250
bhc,44.6824634075165,69.9657105794759,1,20,1000
bhc,45.0781002044678,60.926232709433,2,20,1000
bhc,47.4501936435699,61.5774344665697,3,20,1000
bhc,41.0711870193481,75.633913028345,4,20,1000
bhc,45.6899392604828,62.9507666994468,5,20,1000
bhc,43.7821838855743,68.0767023025546,6,20,1000
bhc,34.8757634162903,64.4427945623174,7,20,1000
bhc,47.1561269760132,57.6570291739772,8,20,1000
bhc,48.2216670513153,63.641594593355,9,20,1000
bhc,45.9949972629547,70.7012581579038,10,20,1000
