method,shd,seed,p,n,true_max_cvar
CSlearn+GRASP,15,8,10,250,2
CSlearn+GRASP,15,9,10,250,2
CSlearn+GRASP,15,10,10,250,2
CSlearn+GRASP,9,1,10,1000,2
CSlearn+GRASP,16,2,10,1000,2
CSlearn+GRASP,12,3,10,1000,2
CSlearn+GRASP,13,4,10,1000,2
CSlearn+GRASP,9,5,10,1000,2
CSlearn+GRASP,6,6,10,1000,2
CSlearn+GRASP,10,7,10,1000,2
CSlearn+GRASP,15,8,10,1000,2
CSlearn+GRASP,13,9,10,1000,2
CSlearn+GRASP,14,10,10,1000,2
CSlearn+GRASP,26,1,15,250,2
CSlearn+GRASP,26,2,15,250,2
CSlearn+GRASP,28,3,15,250,2
CSlearn+GRASP,28,4,15,250,2
CSlearn+GRASP,27,5,15,250,2
CSlearn+GRASP,22,6,15,250,2
CSlearn+GRASP,22,7,15,250,2
CSlearn+GRASP,29,8,15,250,2
CSlearn+GRASP,22,9,15,250,2
CSlearn+GRASP,28,10,15,250,2
CSlearn+GRASP,17,1,15,1000,2
CSlearn+GRASP,20,2,15,1000,2
CSlearn+GRASP,19,3,15,1000,2
CSlearn+GRASP,25,4,15,1000,2
CSlearn+GRASP,15,5,15,1000,2
CSlearn+GRASP,16,6,15,1000,2
CSlearn+GRASP,16,7,15,1000,2
CSlearn+GRASP,23,8,15,1000,2
CSlearn+GRASP,20,9,15,1000,2
CSlearn+GRASP,21,10,15,1000,2
CSlearn+GRASP,32,1,20,250,2
CSlearn+GRASP,34,2,20,250,2
CSlearn+GRASP,35,3,20,250,2
CSlearn+GRASP,33,4,20,250,2
CSlearn+GRASP,31,5,20,250,2
CSlearn+GRASP,33,6,20,250,2
CSlearn+GRASP,35,7,20,250,2
CSlearn+GRASP,38,8,20,250,2
CSlearn+GRASP,32,9,20,250,2
CSlearn+GRASP,36,10,20,250,2
CSlearn+GRASP,20,1,20,1000,2
CSlearn+GRASP,27,2,20,1000,2
CSlearn+GRASP,27,3,20,1000,2
CSlearn+GRASP,28,4,20,1000,2
CSlearn+GRASP,27,5,20,1000,2
CSlearn+GRASP,17,6,20,1000,2
CSlearn+GRASP,16,7,20,1000,2
CSlearn+GRASP,35,8,20,1000,2
CSlearn+GRASP,28,9,20,1000,2
CSlearn+GRASP,26,10,20,1000,2
CSlearn+GRASP,6,1,5,250,3
CSlearn+GRASP,5,2,5,250,3
CSlearn+GRASP,7,3,5,250,3
CSlearn+GRASP,5,4,5,250,3
CSlearn+GRASP,1,5,5,250,3
CSlearn+GRASP,8,6,5,250,3
CSlearn+GRASP,6,7,5,250,3
CSlearn+GRASP,5,8,5,250,3
CSlearn+GRASP,3,9,5,250,3
CSlearn+GRASP,5,10,5,250,3
CSlearn+GRASP,5,1,5,1000,3
CSlearn+GRASP,3,2,5,1000,3
CSlearn+GRASP,6,3,5,1000,3
CSlearn+GRASP,5,4,5,1000,3
CSlearn+GRASP,1,5,5,1000,3
CSlearn+GRASP,6,6,5,1000,3
CSlearn+GRASP,3,7,5,1000,3
CSlearn+GRASP,6,8,5,1000,3
CSlearn+GRASP,4,9,5,1000,3
CSlearn+GRASP,5,10,5,1000,3
CSlearn+GRASP,10,1,7,250,3
CSlearn+GRASP,7,2,7,250,3
CSlearn+GRASP,10,3,7,250,3
CSlearn+GRASP,13,4,7,250,3
CSlearn+GRASP,8,5,7,250,3
CSlearn+GRASP,14,6,7,250,3
CSlearn+GRASP,11,7,7,250,3
CSlearn+GRASP,14,8,7,250,3
CSlearn+GRASP,8,9,7,250,3
CSlearn+GRASP,13,10,7,250,3
CSlearn+GRASP,9,1,7,1000,3
CSlearn+GRASP,7,2,7,1000,3
CSlearn+GRASP,8,3,7,1000,3
CSlearn+GRASP,8,4,7,1000,3
CSlearn+GRASP,10,5,7,1000,3
CSlearn+GRASP,7,6,7,1000,3
CSlearn+GRASP,8,7,7,1000,3
CSlearn+GRASP,11,8,7,1000,3
CSlearn+GRASP,10,9,7,1000,3
CSlearn+GRASP,14,10,7,1000,3
CSlearn+GRASP,21,1,10,250,3
CSlearn+GRASP,20,2,10,250,3
CSlearn+GRASP,23,3,10,250,3
CSlearn+GRASP,26,4,10,250,3
CSlearn+GRASP,22,5,10,250,3
CSlearn+GRASP,26,6,10,250,3
CSlearn+GRASP,25,7,10,250,3
CSlearn+GRASP,29,8,10,250,3
CSlearn+GRASP,23,9,10,250,3
CSlearn+GRASP,23,10,10,250,3
CSlearn+GRASP,16,1,10,1000,3
CSlearn+GRASP,18,2,10,1000,3
CSlearn+GRASP,19,3,10,1000,3
CSlearn+GRASP,20,4,10,1000,3
CSlearn+GRASP,18,5,10,1000,3
CSlearn+GRASP,14,6,10,1000,3
CSlearn+GRASP,19,7,10,1000,3
CSlearn+GRASP,20,8,10,1000,3
CSlearn+GRASP,22,9,10,1000,3
CSlearn+GRASP,22,10,10,1000,3
CSlearn+GRASP,44,1,15,250,3
CSlearn+GRASP,46,2,15,250,3
CSlearn+GRASP,47,3,15,250,3
CSlearn+GRASP,51,4,15,250,3
CSlearn+GRASP,46,5,15,250,3
CSlearn+GRASP,51,6,15,250,3
CSlearn+GRASP,52,7,15,250,3
CSlearn+GRASP,49,8,15,250,3
CSlearn+GRASP,53,9,15,250,3
CSlearn+GRASP,47,10,15,250,3
CSlearn+GRASP,42,1,15,1000,3
CSlearn+GRASP,37,2,15,1000,3
CSlearn+GRASP,37,3,15,1000,3
CSlearn+GRASP,41,4,15,1000,3
CSlearn+GRASP,38,5,15,1000,3
CSlearn+GRASP,44,6,15,1000,3
CSlearn+GRASP,43,7,15,1000,3
CSlearn+GRASP,40,8,15,1000,3
CSlearn+GRASP,39,9,15,1000,3
CSlearn+GRASP,39,10,15,1000,3
CSlearn+GRASP,74,1,20,250,3
CSlearn+GRASP,75,2,20,250,3
CSlearn+GRASP,65,3,20,250,3
CSlearn+GRASP,78,4,20,250,3
CSlearn+GRASP,72,5,20,250,3
CSlearn+GRASP,72,6,20,250,3
CSlearn+GRASP,72,7,20,250,3
CSlearn+GRASP,76,8,20,250,3
CSlearn+GRASP,74,9,20,250,3
CSlearn+GRASP,69,10,20,250,3
CSlearn+GRASP,67,1,20,1000,3
CSlearn+GRASP,60,2,20,1000,3
CSlearn+GRASP,52,3,20,1000,3
CSlearn+GRASP,60,4,20,1000,3
CSlearn+GRASP,62,5,20,1000,3
CSlearn+GRASP,56,6,20,1000,3
CSlearn+GRASP,59,7,20,1000,3
CSlearn+GRASP,55,8,20,1000,3
CSlearn+GRASP,65,9,20,1000,3
CSlearn+GRASP,59,10,20,1000,3
CSlearn+GRASP,1,1,5,250,1
CSlearn+GRASP,2,2,5,250,1
CSlearn+GRASP,3,3,5,250,1
CSlearn+GRASP,4,4,5,250,1
CSlearn+GRASP,3,5,5,250,1
CSlearn+GRASP,3,6,5,250,1
CSlearn+GRASP,2,7,5,250,1
CSlearn+GRASP,2,8,5,250,1
CSlearn+GRASP,2,9,5,250,1
CSlearn+GRASP,0,10,5,250,1
CSlearn+GRASP,1,1,5,1000,1
CSlearn+GRASP,2,2,5,1000,1
CSlearn+GRASP,3,3,5,1000,1
CSlearn+GRASP,3,4,5,1000,1
CSlearn+GRASP,2,5,5,1000,1
CSlearn+GRASP,3,6,5,1000,1
CSlearn+GRASP,2,7,5,1000,1
CSlearn+GRASP,3,8,5,1000,1
CSlearn+GRASP,2,9,5,1000,1
CSlearn+GRASP,2,10,5,1000,1
CSlearn+GRASP,3,1,7,250,1
CSlearn+GRASP,4,2,7,250,1
CSlearn+GRASP,3,3,7,250,1
CSlearn+GRASP,5,4,7,250,1
CSlearn+GRASP,3,5,7,250,1
CSlearn+GRASP,2,6,7,250,1
CSlearn+GRASP,2,7,7,250,1
CSlearn+GRASP,4,8,7,250,1
CSlearn+GRASP,3,9,7,250,1
CSlearn+GRASP,3,10,7,250,1
CSlearn+GRASP,4,1,7,1000,1
CSlearn+GRASP,4,2,7,1000,1
CSlearn+GRASP,4,3,7,1000,1
CSlearn+GRASP,3,4,7,1000,1
CSlearn+GRASP,3,5,7,1000,1
CSlearn+GRASP,3,6,7,1000,1
CSlearn+GRASP,4,7,7,1000,1
CSlearn+GRASP,4,8,7,1000,1
CSlearn+GRASP,1,9,7,1000,1
CSlearn+GRASP,3,10,7,1000,1
CSlearn+GRASP,6,1,10,250,1
CSlearn+GRASP,5,2,10,250,1
CSlearn+GRASP,6,3,10,250,1
CSlearn+GRASP,8,4,10,250,1
CSlearn+GRASP,5,5,10,250,1
CSlearn+GRASP,7,6,10,250,1
CSlearn+GRASP,7,7,10,250,1
CSlearn+GRASP,7,8,10,250,1
CSlearn+GRASP,6,9,10,250,1
CSlearn+GRASP,5,10,10,250,1
CSlearn+GRASP,6,1,10,1000,1
CSlearn+GRASP,5,2,10,1000,1
CSlearn+GRASP,5,3,10,1000,1
CSlearn+GRASP,7,4,10,1000,1
CSlearn+GRASP,4,5,10,1000,1
CSlearn+GRASP,5,6,10,1000,1
CSlearn+GRASP,1,7,10,1000,1
CSlearn+GRASP,5,8,10,1000,1
CSlearn+GRASP,3,9,10,1000,1
CSlearn+GRASP,3,10,10,1000,1
CSlearn+GRASP,9,1,15,250,1
CSlearn+GRASP,11,2,15,250,1
CSlearn+GRASP,10,3,15,250,1
CSlearn+GRASP,12,4,15,250,1
CSlearn+GRASP,10,5,15,250,1
CSlearn+GRASP,9,6,15,250,1
CSlearn+GRASP,9,7,15,250,1
CSlearn+GRASP,9,8,15,250,1
CSlearn+GRASP,7,9,15,250,1
CSlearn+GRASP,11,10,15,250,1
CSlearn+GRASP,9,1,15,1000,1
CSlearn+GRASP,9,2,15,1000,1
CSlearn+GRASP,8,3,15,1000,1
CSlearn+GRASP,12,4,15,1000,1
CSlearn+GRASP,8,5,15,1000,1
CSlearn+GRASP,6,6,15,1000,1
CSlearn+GRASP,9,7,15,1000,1
CSlearn+GRASP,9,8,15,1000,1
CSlearn+GRASP,8,9,15,1000,1
CSlearn+GRASP,6,10,15,1000,1
CSlearn+GRASP,11,1,20,250,1
CSlearn+GRASP,14,2,20,250,1
CSlearn+GRASP,15,3,20,250,1
CSlearn+GRASP,14,4,20,250,1
CSlearn+GRASP,14,5,20,250,1
CSlearn+GRASP,13,6,20,250,1
CSlearn+GRASP,9,7,20,250,1
CSlearn+GRASP,12,8,20,250,1
CSlearn+GRASP,13,9,20,250,1
CSlearn+GRASP,14,10,20,250,1
CSlearn+GRASP,9,1,20,1000,1
CSlearn+GRASP,9,2,20,1000,1
CSlearn+GRASP,11,3,20,1000,1
CSlearn+GRASP,12,4,20,1000,1
CSlearn+GRASP,10,5,20,1000,1
CSlearn+GRASP,10,6,20,1000,1
CSlearn+GRASP,9,7,20,1000,1
CSlearn+GRASP,9,8,20,1000,1
CSlearn+GRASP,12,9,20,1000,1
CSlearn+GRASP,10,10,20,1000,1
