method,kl_div,seed,p,n
cslearn+pc (mle),0.164962475603785,5,10,10000
cslearn+pc (mle),0.1002615068171286,6,10,10000
cslearn+pc (mle),0.1472938756878096,7,10,10000
cslearn+pc (mle),0.1222421835230694,8,10,10000
cslearn+pc (mle),0.0288249598855369,9,10,10000
cslearn+pc (mle),0.1735836280376986,10,10,10000
cslearn+pc (map),0.6627008863995405,1,15,250
cslearn+pc (map),0.5029481909813748,2,15,250
cslearn+pc (map),0.5202028841485551,3,15,250
cslearn+pc (map),0.3998899409519443,4,15,250
cslearn+pc (map),0.7806949834372707,5,15,250
cslearn+pc (map),0.6580457123070452,6,15,250
cslearn+pc (map),0.8938841988734971,7,15,250
cslearn+pc (map),0.6212305968225363,8,15,250
cslearn+pc (map),0.7342536234580229,9,15,250
cslearn+pc (map),0.7398260208177803,10,15,250
cslearn+pc (mle),0.6720236769970589,1,15,250
cslearn+pc (mle),0.5046392995828898,2,15,250
cslearn+pc (mle),0.5247769589145734,3,15,250
cslearn+pc (mle),0.4007594469621127,4,15,250
cslearn+pc (mle),0.7888385206804763,5,15,250
cslearn+pc (mle),0.6600209272284565,6,15,250
cslearn+pc (mle),0.9190086245997297,7,15,250
cslearn+pc (mle),0.6367831596490396,8,15,250
cslearn+pc (mle),0.7360591867573464,9,15,250
cslearn+pc (mle),0.755213880775121,10,15,250
cslearn+pc (map),0.6378496555293077,1,15,500
cslearn+pc (map),0.3954000186683966,2,15,500
cslearn+pc (map),0.442144315337743,3,15,500
cslearn+pc (map),0.2830172072686324,4,15,500
cslearn+pc (map),0.4698543480998104,5,15,500
cslearn+pc (map),0.5578335293439202,6,15,500
cslearn+pc (map),0.781667834222944,7,15,500
cslearn+pc (map),0.4709474084099125,8,15,500
cslearn+pc (map),0.7619541515327894,9,15,500
cslearn+pc (map),0.6750375957848814,10,15,500
cslearn+pc (mle),0.6393925686879784,1,15,500
cslearn+pc (mle),0.3963568029210635,2,15,500
cslearn+pc (mle),0.4430018719529949,3,15,500
cslearn+pc (mle),0.2831776360475699,4,15,500
