method,kl_div,seed,p,n
cslearn+grasp (mle),0.1987742215530934,4,15,1000
cslearn+grasp (mle),0.1347674699710996,5,15,1000
cslearn+grasp (mle),0.1248978107823867,6,15,1000
cslearn+grasp (mle),0.1764818656034694,7,15,1000
cslearn+grasp (mle),0.1236065184919373,8,15,1000
cslearn+grasp (mle),0.0809693631752894,9,15,1000
cslearn+grasp (mle),0.1760770957307582,10,15,1000
cslearn+grasp (map),0.0493672083105777,1,15,1000
cslearn+grasp (map),0.1488559934298151,2,15,1000
cslearn+grasp (map),0.117434851154063,3,15,1000
cslearn+grasp (map),0.1988660771434718,4,15,1000
cslearn+grasp (map),0.1342920490021104,5,15,1000
cslearn+grasp (map),0.1247033749290221,6,15,1000
cslearn+grasp (map),0.1759712898209513,7,15,1000
cslearn+grasp (map),0.1212706483540922,8,15,1000
cslearn+grasp (map),0.0810389264911264,9,15,1000
cslearn+grasp (map),0.1761190275564252,10,15,1000
cslearn+grasp (mle),0.017006695226347,1,15,10000
cslearn+grasp (mle),0.0139186884238939,2,15,10000
cslearn+grasp (mle),0.006402240436001,3,15,10000
cslearn+grasp (mle),0.0262938825193561,4,15,10000
cslearn+grasp (mle),0.0231481098244532,5,15,10000
cslearn+grasp (mle),0.0316541986307477,6,15,10000
cslearn+grasp (mle),0.0083282130098005,7,15,10000
cslearn+grasp (mle),0.0050680927900444,8,15,10000
cslearn+grasp (mle),0.021606257235049,9,15,10000
cslearn+grasp (mle),0.0335969739294763,10,15,10000
cslearn+grasp (map),0.0169744546134426,1,15,10000
cslearn+grasp (map),0.0139187394131219,2,15,10000
cslearn+grasp (map),0.0064022315847448,3,15,10000
cslearn+grasp (map),0.0262157276322363,4,15,10000
cslearn+grasp (map),0.0231396765096682,5,15,10000
cslearn+grasp (map),0.0316553674853394,6,15,10000
cslearn+grasp (map),0.0083248990772194,7,15,10000
cslearn+grasp (map),0.0050567374020508,8,15,10000
cslearn+grasp (map),0.0215957753769142,9,15,10000
cslearn+grasp (map),0.0336025071012584,10,15,10000
cslearn+grasp (mle),0.4901557477291127,1,20,250
cslearn+grasp (mle),0.6498909787110291,2,20,250
cslearn+grasp (mle),0.7024457063471342,3,20,250
cslearn+grasp (mle),0.8319380566395979,4,20,250
cslearn+grasp (mle),0.4309134745671313,5,20,250
cslearn+grasp (mle),0.6461639310066235,6,20,250
cslearn+grasp (mle),0.5561892796997709,7,20,250
cslearn+grasp (mle),0.5215167523715045,8,20,250
cslearn+grasp (mle),0.45761052040055,9,20,250
cslearn+grasp (mle),0.3937907565419416,10,20,250
cslearn+grasp (map),0.4929972537020039,1,20,250
cslearn+grasp (map),0.6466017077307611,2,20,250
cslearn+grasp (map),0.7012908175410273,3,20,250
cslearn+grasp (map),0.8300870375307384,4,20,250
cslearn+grasp (map),0.4288410698222394,5,20,250
cslearn+grasp (map),0.6517216146801358,6,20,250
cslearn+grasp (map),0.5476551942799484,7,20,250
cslearn+grasp (map),0.519431431249299,8,20,250
cslearn+grasp (map),0.4499170464243847,9,20,250
